title,category,incident_date,oldest_article_date,latest_article_date,location_name,district,state,latitude,longitude,legal_status,source_count,publishers,primary_url,summary
KT Rama Rao questions Telangana Police over sexual harassment case against BRS leaders,Other GBV,2026-09-12,2026-09-12,2026-09-12,Anand,Anand,Gujarat,22.5645,72.9289,Under Investigation,1,Unknown,https://telanganatoday.com/kt-rama-rao-questions-telangana-police-over-sexual-harassment-case-against-brs-leaders,BRS working president KT Rama Rao questioned the Telangana Police over a sexual harassment case registered against BRS legislators following an Assembly altercation. He also questioned DGP CV Anand over allegations involving Congress leaders and asked Rahul Gandhi for answers
"Khammam youth booked in POCSO case dies by suicide, alleges harassment by girl’s kin",POCSO / Minor,2026-09-12,2026-09-12,2026-09-12,Khammam,Khammam,Telangana,17.2473,80.1514,Under Investigation,1,Unknown,https://telanganatoday.com/khammam-youth-booked-in-pocso-case-dies-by-suicide-alleges-harassment-by-girls-kin,"A 21-year-old youth from Khammam district, who was earlier jailed in a POCSO case and released on bail, died by suicide at Mudigonda mandal headquarters. In his suicide note, Vinay Kumar Yadav alleged harassment and extortion by the girl’s relatives."
"Over 4,600 Domestic Violence Cases Recorded Nationwide Up To July",Domestic Violence,2026-09-12,2026-09-12,2026-09-12,,,,,,Under Investigation,1,Sarawak Tribune,https://news.google.com/rss/articles/CBMinAFBVV95cUxPRHZzdkF2US11RmNmZ3ZTTmRzT0x6YUFDRkNzU01JbmV2RU5vYnVneTUzRHdiYXd5NC1rX1ZUMFl2ZEMxakp0YVIzRWx1bXotQ2RQVnpwMy03N1lRSkVGTGRST2ZJZkFXT2hyTURyVDFxQ2VrWGw1R0d2d3FRUnl4Q2NwQjhfU09yM2toQkpMc0pTX19Dem1DT3BHUlY?oc=5,"Over 4,600 Domestic Violence Cases Recorded Nationwide Up To July Sarawak Tribune"
She Accused MP Chandrashekhar Azad Of Sexual Harassment. Now She's Back In India,Other GBV,2026-09-12,2026-09-12,2026-09-12,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,22.9734,78.6569,Under Investigation,1,News18,https://news.google.com/rss/articles/CBMi2gFBVV95cUxPMTU2NXUxbF9KUU1IaGpDREcxM3ppeDUydmdua183QzR0RzQxS3FNTDZnaUhyeXdNbU1oLWJ2M1hfdDNDSm5uQ0p2XzRmWmJjTmtMRmNoLTdnSmdLX2gxYXMwbEJWZXBOUEpHZEVkcnpVMGw3ZU95azdNR1l2Rm1SbmtLSU83Yng4Zlc2bHJVSlZFUVZOWURuWmRBSmc0cVNfU2dLeHdaSGRvcmFhR0JWUm81alliZFZldWxFRTNzdmFndHZXbWFSekkxa0ctZjkyWmhpdzRMNkx5Z9IB3wFBVV95cUxPaTFvMmxKS2ZnNEltazBzSnJPODQtV0szNERNbTI0ZzhIUC13V3hJQ2E4UEhPSk9hRk85UUl1Z3pqaXJEaWVUZm9Pa2ZISDc3NTI3a3laZHlyR0FzcTZPZWdBTHNBSnRvRkI3T1EyZHlkVk9ZWEJLd294Y3dDZWltdUlaN2lRN0g2SW5MQjJsM3NtVFV1QXhXdVc1ekJiTTVteDBLa2RhRmdEQzNwa3oxdUdRWl94VWtudGR1SFRJUndaOUtqWnVadHpSYm1RdXdsbGlqUXIyWUctTThqSldJ?oc=5,She Accused MP Chandrashekhar Azad Of Sexual Harassment. Now She's Back In India News18
"After POCSO case arrest, Rohit Chandel hints at TV comeback as Sairaab goes off-air: ‘See you all again soon’",POCSO / Minor,2026-09-12,2026-09-12,2026-09-12,,,,,,Under Investigation,1,Mid-Day,https://news.google.com/rss/articles/CBMi7gFBVV95cUxOUzJadDFPY0FUWU1IRVFlNG9nWDM5TDZIX2ZZb2swZC0zMUVRemIwNk1ZNlVHX3o4ckJVeUdMM3JneDR2RFJDWnZpZjcxVTMxNGlxNE9MTG56OTAwZVdTSF9kQzdaN1FGOGZwX2E3eEFWT214Nnl6Qk44Zl91VjFxdXQzTzFaYVgxc0JzVXFVeEFIdWpuT0dUR1dmWHJQWVFmTlpwMjBUSzYxbV9PYVRfTGZ6U0NVb1ZOak5WcURUQTNaWV9wZHZBU2tnZTdjQVYwbUlXWl8zRkJtQkdLTTktS0NwT2FjQWhPZ2ViLW1R0gHuAUFVX3lxTE5TMlp0MU9jQVRZTUhFUWU0b2dYMzlMNkhfZllvazBkLTMxRVF6YjA2TVk2VUdfejhyQlV5R0wzcmd4NHZEUkNadmlmNzFVMzE0aXE0T0xMbno5MDBlV1NIX2RDN1o3UUY4ZnBfYTd4QVZPbXg2eXpCTjhmX3VWMXF1dDNPMVphWDFzQnNVcVV4QUh1am5PR1RHV2ZYclBZUWZOWnAyMFRLNjFtX09hVF9MZnpTQ1VvVk5qTlZxRFRBM1pZX3BkdkFTa2dlN2NBVjBtSVdaXzNGQm1CR0tNOS1LQ3BPYWNBaE9nZWItbVE?oc=5,"After POCSO case arrest, Rohit Chandel hints at TV comeback as Sairaab goes off-air: ‘See you all again soon’ Mid-Day"
"Child Raped, Toilet Cleaner Poured On Her: Man Gets Death In ""Rarest"" Case",Sexual Assault,2026-09-12,2026-09-12,2026-09-12,,,,,,Under Investigation,1,NDTV,https://news.google.com/rss/articles/CBMi1gFBVV95cUxQTGt0WklFcTRDcV80SWtSbk96MTBYM0g0UGxmX0JRa0gzUWMxQVRWVEFlWFlmMWFNS2gwRUVNcl80SmxBblpDUF9RZ05ZMGxHbnYxTUxhV0hrSVQxeUpqbWl2NWhsN1FGQnAxZEJBNlktN25jem5GVnRRU1l3aUs0R0daZExXRUNuVVhQS3dHNkNYTTBUWENyZXc0NU83MVRwa213ODRHMDduWWpXdHk2T29vUlRHUkcyYnVxdlJFVkRKTVRxRkxhR0xHcW14dm9zVm1IUUJ30gHeAUFVX3lxTFBRaU5SbTVyeGxITXhueG9TRGNHT2xpczg4TjRqcVdfZmJqRDlBM3FqVWJ5WnBteS1WUHJVeFpEd19rcEk4d0xMQW9fODVYVDRNdlA2T2JoRnIzTkdlVlkyc0tmX2dnMm5Pb1RFS3h1WG81d2V6MC1mWm9DaXBndjEyVjVLSlB1eU9QQVRGUlljcjgwbHB2Y0tBMGM2YWphVDRLZGpRTElPRHEwSkxtRmZNREhXMk03MmNucE5CeUF2R3l5YlRud1pzLXAwemU0TVhTdnA4S0VJZm45Y0xJdw?oc=5,"Child Raped, Toilet Cleaner Poured On Her: Man Gets Death In ""Rarest"" Case NDTV"
Corporal punishment without sexual intent doesn't fall under POCSO: SC quashes case against Bengal teacher | India News,POCSO / Minor,2026-09-12,2026-09-12,2026-09-12,New Delhi,New Delhi,Delhi,28.6139,77.209,Under Investigation,1,Hindustan Times,https://news.google.com/rss/articles/CBMi-wFBVV95cUxPQVRWTzNOY1JweVVMbUhRT3NTZlE4RVZvV2t6Z0QyM3JzaEtEYjlacVNibTZPWThIaVR1Mjd1R1hlZC1aa2h0dVJSMjlhTy1CTlVJU2o2b2NZcXlPMV90Rkt2T3BhTkZteGNaZkN0dHhWeHVvYzRCQUdYWEJUTFNQeWpMc080TnVzS3hzSGVRMk1sVnIyVnEyd0FzU3dudEMtdWNCQy1ULXFBdFB4WlNLa0NiZUk1R3NqUGZvTnlpb1FuV0JSd0s3ekp0WkdYYkhhdS12cDNpWW1XTGk0czZiSml2WUpad0dCZUFwemdSZmt3LTI3U1RpbER0RdIBgAJBVV95cUxPQkFEZlZyVjh3bjVqSGIwVlowYTMzM19pYUQ2OG1qVVQ2dmFIazZ0Z2NZV3FiZFUyUXo1QnF4Zy0tSnV0Z1RiYzFrdU8wZEx5UnpCVi02VWZIMVZqdmp4QlFGX21nY1o2N2cyQ0JXdzNKam1uOC1tWU1tWlQyc0xyM3NHZXFLeG1oS3I4SGtvUlc4M2tZc2w2MGxrS05ubGJJQnFlQ2hYb0RrbVdZOHIyZFZpNTNZT0NkYUhVdUpFOTdpUUdfTnpiX0VhVFFXN3hGTGJyZVd5UTFzZE8zQndQbkN1anJEOVVmOWdjMEMwOGRpd3BzMXpqQnB2d3habHpN?oc=5,Corporal punishment without sexual intent doesn't fall under POCSO: SC quashes case against Bengal teacher | India News Hindustan Times
Delhi CM directs DCW officials to raise awareness on POCSO and cybercrime for girls,POCSO / Minor,2026-09-12,2026-09-12,2026-09-12,Delhi,Delhi,Delhi,28.7041,77.1025,Under Investigation,3,"The Hindu, LawChakra, LawChakra",https://news.google.com/rss/articles/CBMi3wFBVV95cUxOakRwM202TGlUeG1pc3VZOXZ6RldfUGdwVzlTTk5ieXEtQkJ2OTFuSUNSblVlc25xUzFzZkN5Z1BIMzZHcS1OQXhOQW1zUUVtX0VyVFlGN3pHSVRZc0owYWtvaGx0UmpaUGI5dWdrcnVOOHBlcWJsdlE2aWl2Uzg4QmJrNVkyQXlpbG1kTVdjRUJPM0dnYjV4RFlPNmZGUno1TUdpV1JiSVhqX09QWXNwYnQybGF0YjdtTnZNZEx6ZXlFVjRQUHZoeWo5RkpWSVYyMEhNQ3loUWZaTzVZalZR0gHmAUFVX3lxTE40SHdYM2x4d0JMZUhEdzR3aU5PQ2FiRjBrUmFFd1REWGRidDBLSXprVDJpNS1TbEdJX1BzcG9DVTRFTXBzdmVjMFZjNzFLWEU2NkJaclM0LVNVZlBJZzExMk96cUo2Zzl1Rldab1BoYl91LXZPdmdGTVl6cUJTcDhDcjBZU19pZHdUM2YxYV9fOHlQUFBUeU9lZ0V2cmlWbDNQQkhXWGRWVEhlTFkybndoZkhnaGFjdVZZVHhENzFJQ3ZJOHRmdUhsdEQ0dGEzY0hqVW5MLUJ5eHZXMlc5VDFDMDB1NEVB?oc=5,Delhi CM directs DCW officials to raise awareness on POCSO and cybercrime for girls The Hindu
"Assam: Missing Woman Found Dead in Chabua, Family Suspects Rape-Murder",Sexual Assault,2026-09-12,2026-09-12,2026-09-12,Assam,Assam,Assam,26.2006,92.9376,Under Investigation,1,Pratidin Time,https://news.google.com/rss/articles/CBMi3AFBVV95cUxONjVLbmNvendiel9vUkt1VHhaYXRjM3hZdjdlVHpod01BTWJMSG4tZEVBazkzNXdMNTBKdEdITFV4MFFTTFJiN2xKMDA3Q1VvLU5JOFpRa0E4dXpLSnU2WkVYanpEZ3VVMFI3am1qRDBPWGp3ekdtUU9PY1ZnTXEtc0xRaWJteWtvUDFkaW1yeGpJRmVOMGdsSkFMSExXREpLeGdOMVJqc2pPVXU3QkJQcE5WR2liVkxwVWpDRVdTa0xmRHlTRU1FdnA3Si12LXU3ZnVoajdOZEQ5MWc20gHcAUFVX3lxTE42NUtuY296d2J6X29SS3VUeFphdGMzeFl2N2VUemh3TUFNYkxIbi1kRUFrOTM1d0w1MEp0R0hMVXgwUVNMUmI3bEowMDdDVW8tTkk4WlFrQTh1ektKdTZaRVhqekRndVUwUjdqbWpEME9Yand6R21RT09jVmdNcS1zTFFpYm15a29QMWRpbXJ4aklGZU4wZ2xKQUxITFdESkt4Z04xUmpzak9VdTdCQlBwTlZHaWJWTHBVakNFV1NrTGZEeVNFTUV2cDdKLXYtdTdmdWhqN05kRDkxZzY?oc=5,"Assam: Missing Woman Found Dead in Chabua, Family Suspects Rape-Murder Pratidin Time"
Assam: POCSO court in Kokrajhar sentences rape convict to 20-yr rigorous imprisonment,POCSO / Minor,2026-09-12,2026-09-12,2026-09-12,Kokrajhar,Kokrajhar,Assam,26.4,90.2667,Under Investigation,1,"The Sentinel - of this Land, for its People",https://news.google.com/rss/articles/CBMi4AFBVV95cUxPSXJnclVYSHN2cmU0LWZqWWlVdm95eUpoT0lVT2U0Um5pczZOVEd3UkYyTXliUnU3V3pLMlFRa3ZpRl9VdVFteS1BVGI2U0paby0wNExJRWxRVFJnVDJTSDA0aVZCVDl2RFMyYUFhVDJ5VU54bTd0RHkzbFlqYTFlV3JHSnNJaVhUb0FtNnRnQ0pneWkwdHRaQXVRNG5RUzBTU3didFVFZ2lkcmxmQVpFMFZvNEZ4Q1lRMlNYTFB0Y1g0LTdackpsYnJ0cTh3a0cyTW9jRW1QckhRSmswODV2ZNIB7gFBVV95cUxOUG5GYk52cmd1dG5UTXRYS003OV84ekk5cF9KandHWFlLR0drQWxGc21BRGR0RHJ2V2xmTS1oZE94cng1NFc0QUxmbFFrY2pJX1JIYlVOeTBCY2VJa2NCdmh5UDM2Z0tYSEhVNmtGRU5oWnBoTzFzTlhSQV8wcVIyNmhIakJXSzlQS1FtOHZMU1NzdFZSdjY0dzd2MGVrdnloRmVsVmpvcWRlX1I5M3FTZGhYSkloTENtRmE3NG9qY2g5aC1wWnZaaEprcG5GMGE3RmNKYXFYVjVKaXNpeUpSdi1neDAyZ3k0ZkxRTVRB?oc=5,"Assam: POCSO court in Kokrajhar sentences rape convict to 20-yr rigorous imprisonment The Sentinel - of this Land, for its People"
